CCLE1,39bd3aa6-301d-4b80-bd0a-3949edee80ea
CCLE2,05aabb2e-9f6e-46a2-b75d-cac92210e04f
CCLE3,a09abee3-7886-403b-a33e-48e618be52bd
CCLE4,dd049467-f24c-4579-b10d-859f81aac77b
CCLE5,421ed4f5-071e-465f-a031-fe285846d2aa
CCLE6,e3aa3fb2-6eee-4123-8eab-1dc00d643acf
CCLE7,5d88fdd7-0a0e-4fe9-be59-b425184096d2
CCLE8,ff398270-eea7-4598-a61a-42d9bc774ecc
CCLE9,03efa391-7a94-4201-8211-1997f18b8cb9
CCLE10,f63a0ffa-ec3e-4325-8f7d-668bbe03afec
CCLE11,65166af2-8760-4449-ac82-2206a10fd59c
CCLE12,0f22d586-97bb-4b79-bbf8-60cd87ab35ef
CCLE13,0b88578c-054e-4b0c-bb67-37fe0075ee66
CCLE14,9b530d80-e6c8-4585-8dc9-99e9a2305e57
CCLE15,d171829f-a4d9-41b7-8fce-b3a5cfb1e781
CCLE16,df4990cd-2443-48fb-92fe-bf38b7bda265
